Name,Dim,Time
dgemv,3300,75307
dgemv,3300,69226
dgemv,3300,73113
dgemv,3300,68705
dgemv,3300,71316
dgemv,3300,70955
dgemv,3300,73796
dgemv,3300,73704
dgemv,3300,73384
ddot,11560000,83316
ddot,11560000,84123
ddot,11560000,83370
ddot,11560000,83733
ddot,11560000,84301
ddot,11560000,83818
ddot,11560000,84959
ddot,11560000,83740
ddot,11560000,85257
dgemv,3400,65622
dgemv,3400,62978
dgemv,3400,65703
dgemv,3400,62947
dgemv,3400,65170
dgemv,3400,62927
dgemv,3400,64687
dgemv,3400,63108
dgemv,3400,64345
ddot,12250000,95829
ddot,12250000,104243
ddot,12250000,94939
ddot,12250000,102765
ddot,12250000,95687
ddot,12250000,102326
ddot,12250000,96668
ddot,12250000,102846
ddot,12250000,100663
dgemv,3500,71677
dgemv,3500,72543
dgemv,3500,72567
dgemv,3500,72479
dgemv,3500,72243
dgemv,3500,71707
dgemv,3500,73897
dgemv,3500,70398
dgemv,3500,71666
ddot,12960000,124879
ddot,12960000,125341
ddot,12960000,117651
ddot,12960000,124876
ddot,12960000,124807
ddot,12960000,117503
ddot,12960000,127334
ddot,12960000,125132
ddot,12960000,116063
dgemv,3600,82686
dgemv,3600,88484
dgemv,3600,87772
dgemv,3600,83100
dgemv,3600,87724
dgemv,3600,88269
dgemv,3600,86916
dgemv,3600,87895
dgemv,3600,87614
ddot,13690000,103037
ddot,13690000,98939
ddot,13690000,101135
ddot,13690000,101580
ddot,13690000,96862
ddot,13690000,101823
ddot,13690000,97269
ddot,13690000,100514
ddot,13690000,100381
dgemv,3700,75569
dgemv,3700,76245
dgemv,3700,74910
dgemv,3700,76564
dgemv,3700,75183
dgemv,3700,75982
dgemv,3700,76652
dgemv,3700,75422
dgemv,3700,76574
ddot,14440000,129095
ddot,14440000,123893
ddot,14440000,118578
ddot,14440000,119686
ddot,14440000,119549
ddot,14440000,121922
ddot,14440000,126540
ddot,14440000,113642
ddot,14440000,123611
dgemv,3800,81740
dgemv,3800,83507
dgemv,3800,84540
dgemv,3800,84680
dgemv,3800,84499
dgemv,3800,82221
dgemv,3800,85175
dgemv,3800,85005
dgemv,3800,81870
ddot,15210000,143992
ddot,15210000,145155
ddot,15210000,148484
ddot,15210000,148212
ddot,15210000,146006
ddot,15210000,143170
ddot,15210000,144285
ddot,15210000,147872
ddot,15210000,147106
dgemv,3900,103147
dgemv,3900,100037
dgemv,3900,98689
dgemv,3900,102608
dgemv,3900,103649
dgemv,3900,102836
dgemv,3900,101531
dgemv,3900,97976
