Name,Size,Time
ddot,4410000,45256
dgemv,2100,27373
dgemv,2100,28514
dgemv,2100,30297
dgemv,2100,30172
dgemv,2100,30185
dgemv,2100,30549
dgemv,2100,30233
dgemv,2100,30305
dgemv,2100,30496
ddot,4840000,33392
ddot,4840000,33123
ddot,4840000,33116
ddot,4840000,33541
ddot,4840000,33134
ddot,4840000,33222
ddot,4840000,33125
ddot,4840000,33288
ddot,4840000,33112
dgemv,2200,25822
dgemv,2200,25734
dgemv,2200,25735
dgemv,2200,26113
dgemv,2200,25754
dgemv,2200,25754
dgemv,2200,25754
dgemv,2200,25806
dgemv,2200,25736
ddot,5290000,48189
ddot,5290000,47916
ddot,5290000,47824
ddot,5290000,47941
ddot,5290000,47921
ddot,5290000,47929
ddot,5290000,48427
ddot,5290000,47751
ddot,5290000,47765
dgemv,2300,31084
dgemv,2300,31165
dgemv,2300,31177
dgemv,2300,31066
